Fiscal Year,Event ID,Event Goal($),Active Registrations,Inactive Registrations,Total Fees Paid,Total of All Confirmed Gifts($),Total Online Gifts($),Teams,Captains,Average Team Size,Total Offline Confirmed Gifts($),Self Donors,Total From Participant($),Non-self Donors,Total Not From Participant($),Total Team Gifts($),Total Event Gifts($),Total Offline Unconfirmed Gifts($),City,State,Zip Code,Internal Event Name,Previous Event ID
2013,20354,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,HI,,Bike MS 2013,18934
2015,25280,1600000,2007,209,37872,1435650.08,1093114.24,180,215,9,342535.84,866,215767.24,1350,1259195.84,38209.39,22885.88,37463,DeKalb,IL,60115,ILD 2015 Bike MS: Tour de Farms,22978
2014,22978,1700000,2122,87,36248,1432003.02,1038205.65,165,197,10,393797.37,880,234359.64,1329,1258880.13,34573.4,52698.85,55961.75,DeKalb,IL,60115,ILD Bike MS: Tour de Farms 2014,20718
2014,22966,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DeKalb,IL,60115,ILD BIKE TEST 2014,20718
2013,20718,1680000,2511,52,39407,1548427.51,1041391.69,195,219,10,507035.82,1506,244252.27,1057,1396572.99,40839.32,53300,92247.75,Dekalb,IL,60115,ILD Bike MS: Tour de Farms 2013,18012
2016,27043,1600000,1759,60,54184,1400482.1,1126683.19,155,181,9,273798.91,915,220882.16,904,1213493.44,28192.51,27865,26090,DeKalb ,IL,60115,ILD 2016 Bike MS: Tour de Farms,25280
2017,28197,1600000,1466,26,40795,1187045.52,867028.95,137,150,8,320016.57,774,201123.99,718,1016728.53,35839.45,24375.83,27385,DeKalb,IL,60115,ILD 2017 Bike MS: Tour de Farms,27043
2014,23939,200000,1,0,0,10836.83,6503,1,1,1,4333.83,0,0,1,11006.83,0,0,170,,,,ILD - 2014 MS Great 8 - Beach to Beach Tour,0
2014,21760,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ILD Bike MS 2014 OLD,0
2015,24916,230000,336,1,5355,145237.51,95606.51,41,42,5,49631,218,29828.5,119,126374.01,8405,11160,10965,Anderson,IN,46013,INI 2015 Bike MS: Cruisin' the Crossroads,23362
2014,23362,210000,378,0,7845,180410.6,97539.7,48,50,5,82870.9,155,39506,223,151876.6,10029,10795,9900,Anderson,IN,46013,"Indiana, Anderson - Bike MS 2014",21076
2016,27716,195000,296,1,3738.84,120995.17,74182.31,34,36,5,46812.86,143,28492,154,98153.17,3440,6081.55,5650,Anderson,IN,46013,INI 2016 Bike MS: Cruisin' the Crossroads,24916
2017,28267,172000,291,0,3372,129379.26,61469,29,24,6,67910.26,138,27231,153,108758.26,2513,4070,3920,Lebanon,IN,46052,INI 2017 Bike MS: Cruisin' the Crossroads,27716
2016,27197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,practice,0
2013,20356,280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carmel,IN,46032,INI Bike MS 2013,0
2013,21076,280000,450,0,9390,207676.4,119131,50,51,5,88545.4,168,34867,282,175785.8,8221.4,3295,1975,Carmel,IN,46032,"Indiana, Carmel - Bike MS 2013",0
2014,21902,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,INI Bike MS 2014,0
2014,22756,124236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pratt,KS,67124,"OLD Wichita, Kansas  Bike MS 2014",20080
2016,27078,50000,124,0,3245,62035.51,40034.51,12,12,7,22001,69,14841.51,55,50106,175,2790,2912,Wichita,KS,67042,KSG 2016 Bike MS: Wichita Ride,25040
2017,28811,1280000,1482,19,42963,1020161.91,581692.9,93,99,12,438469.01,737,194875.92,764,916701.52,8768,72484.42,79893.42,Olathe,KS,66044,KSG 2017 Bike MS: Kansas City,27065
2015,25040,44750,110,1,1800,57853.7,35132.1,10,10,8,22721.6,57,7672.1,54,50621.6,230,566.95,320,El Dorado,KS,67042,KSG 2015 Bike MS: Wichita Ride,22786
2017,28278,50000,129,1,4018,60311,32944,16,16,5,27367,74,10916.67,56,52101,2050,1516.67,2091.67,Augusta,KS,67010,KSG 2017 Bike MS: Wichita,27078
2016,27079,100000,165,2,5340,69904.5,46690.5,22,22,6,23214,96,23426,71,53913.5,2035,6483,7435,Bellevue,NE,68005,KSG 2016 Bike MS: Nebraska Ride,25039
2017,28280,290000,566,5,13724,224117.97,96887,38,40,9,127230.97,195,34943.53,376,215410.44,4784.1,1714,15385,Republic,MO,65738,KSG 2017 Bike MS: Ozarks,27063
2015,25038,317250,605,5,16170,274032,121346.44,41,42,10,152685.56,253,49496.75,357,232460.25,815,4991,7005,Republic,MO,65738,KSG 2015 Bike MS: Ozarks Ride,22788
2014,22786,118609,118,2,2530,97941.73,41744.18,16,16,5,56197.55,51,10269.18,69,89873.04,845,6770,2100.49,Pratt,KS,67124,"Wichita, Kansas Bike MS 2014",20080
2015,25116,1262860,1480,9,35390,1152420.29,613913.36,97,105,12,538506.93,716,161773.77,773,1076503,56965,28930,33293.48,Olathe,KS,66062,KSG 2015 Bike MS: Kansas City Ride,22790
2017,28812,100000,178,2,5132,81514.11,60459.11,21,21,5,21055,106,17190.11,74,71165,780,1290,3700,Omaha,NE,68102,KSG 2017 Bike MS: Nebraska,27079
2013,20077,1328000,1864,14,37606.28,1262562.18,556488,105,123,14,706074.18,759,124841.69,1119,1145198.98,8122,84850.4,7348.49,Olathe,KS,66062,KSG Bike MS 2013 Kansas City Ride,17894
2014,22788,335200,655,7,16145,306973.36,124797.29,41,43,10,182176.07,233,43851.48,429,265521.15,1415,18449,2239.27,Clever,MO,65631,"Springfield, Missouri Bike MS 2014",20078
2014,22758,407000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clever,MO,65631,"OLD Springfield, Missouri Bike MS 2014",20078
2014,22759,1328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olathe,KS,66062,"OLD Kansas City, KS Bike MS 2014",20077
2013,20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,KSG Bike MS 2013,0
2016,27047,317250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Republic,MO,65738,KSG 2016 Bike MS: Ozarks Ride Temporary,0
2016,28279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Bike MS: Ozarks Ride - DO NOT USE,0
2014,22757,159000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bellevue,NE,68005,"OLD Omaha, Nebraska Bike MS 2014",20066
2014,21762,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,KSG Bike MS 2014 OLD,0
2014,21903,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,KSG Bike MS 2014,0
2013,20066,159000,237,1,3478.04,116771.23,58337.03,28,31,7,58434.2,92,18527.64,146,99623.59,6927,19254.22,685,Bellevue,NE,68005,KSG Bike MS 2013 Nebraska Ride,18798
2013,20080,124236,150,6,2579,115967.6,41289.86,16,16,6,74677.74,59,7812.76,97,110384.84,152,18019.35,2100,Pratt,KS,67124,KSG Bike MS 2013 Wichita Ride,17870
2016,27065,1280000,1321,9,40475,1052155.72,600295.6,91,102,12,451860.12,697,171502.8,633,932528.89,12025.91,51182.07,50524.97,Olathe,KS,66062,KSG 2016 Bike MS: Kansas City Ride,25116
2016,27063,290000,508,9,15965,310905.49,125682.94,32,32,12,185222.55,216,43602.05,301,277073.64,3047,6185,9770.2,Republic,MO,65738,KSG 2016 Bike MS: Ozarks Ride,25038
2015,25039,112490,151,4,3270,68913.01,51392.01,21,23,6,17521,72,14691,83,57694.01,5915,2989,3472,Bellevue,NE,68005,KSG 2015 Bike MS: Nebraska Ride,22789
2014,22789,128000,267,0,3625,125084.91,64760.67,24,27,9,60324.24,109,15519,158,111536.91,2610,24517.74,1931,Bellevue,NE,68005,"Omaha, Nebraska Bike MS 2014",20066
2014,22790,1359500,1815,16,44890,1290575.07,622015.98,115,123,13,668559.09,832,127530.77,999,1171804.62,18026.2,78546,8435.32,Olathe,KS,66062,"Kansas City, KS Bike MS 2014",20077
2013,20078,407000,719,9,13348.84,303242.41,99100.14,43,45,12,204142.27,218,43159.71,510,263128.7,305,27892.49,2869,Clever,MO,65631,KSG Bike MS 2013 Ozarks Ride,17893
2017,28543,0,25,0,25,5,5,1,1,11,0,0,0,25,5,0,0,0,Elkhart,KS,67950,KSS 2017 Bike MS: Elkhart,13351
2014,22436,200000,208,17,4910,150954.15,89705,44,51,4,61249.15,117,37954.41,108,137004.74,4966.85,23273,23645,Shelbyville,KY,40065,"Kentucky, Shelbyville - Bike MS 2014",21156
2013,22376,25000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lexington,KY,40511,Sue Rock Memorial Ride: Bike MS 2013,0
2017,28480,120000,170,2,3015,115904.27,64365.68,25,24,4,51538.59,90,17980,82,101084.27,3326.25,1000,3040,Lawrenceburg,KY,47025,KYW 2017 Bike MS: Louisville,27151
2016,27086,157500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Louisville,KY,40207,"KYW 2016 Bike MS: Bluegrass, Bikes, Bourbon & BBQ",0
2014,21904,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,KYW Bike MS 2014,0
2013,20357,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shelbyville,KY,,KYW Bike MS 2013,18228
2015,25686,175000,286,6,4420,139317.5,76564.41,36,36,4,62753.09,122,29973,170,125319.85,8529,11007,14493.35,Louisville,KY,40207,KYW 2015 Bike MS: Louisville,22436
2015,24422,175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Louisville,KY,40207,KYW Bike MS 2015,0
2016,27151,157500,166,0,4090,105738.21,60047.5,24,24,4,45690.71,80,14604.5,86,94033.71,2155,2058,1060,Louisville,KY,40207,KYW 2016 Bike MS: Louisville,25686
2014,21763,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,KYW Bike MS 2014 OLD,0
2013,21156,180000,293,5,2440,158246.53,81316.95,36,43,6,76929.58,125,32186.5,173,141347.03,1650,16092.5,14097,Shelbyville,KY,40065,"Kentucky, Shelbyville - Bike MS 2013",18228
2013,17971,0,410,3,0,0,0,0,0,0,0,0,0,413,0,0,0,0,Hammond,LA,,"Louisiana, Hammond - 2012 Bike Percy Quin Housing",0
2013,17970,800000,1208,13,32515,715789.14,434687.14,108,121,8,281102,531,103056.05,690,624321.34,18892.78,3766.52,10133.25,Hammond,LA,,"Louisiana, Hammond - bike MS: Louisiana Ride 2012",16602
2015,22835,850000,1194,40,30484,754888.62,492024.6,97,104,9,262864.02,577,172021.83,657,656968.79,12789.1,64908.22,65824,Hammond,LA,70401,"TXH Louisiana, Hammond - Bike MS 2014",20274
2016,25876,856000,859,222,32425,729535.09,479963.24,89,96,7,249571.85,514,186902.43,567,626522.15,3514.75,77694.18,80413,Hammond,LA,70401,"TXH Louisiana, Hammond - Bike MS 2015",22835
2017,27905,787000,931,52,29417.5,602100.65,410294.89,86,90,8,191805.76,523,170093.61,460,507170.04,2660,71305,72430,Hammond,LA,70401,TXH 2016 Bike MS: Hammond,25876
2014,20274,850000,1273,50,33050,712724.52,470063,95,115,10,242661.52,537,114471.22,786,613550.8,18497.3,5652.57,1395,Hammond,LA,,"Louisiana, Hammond - Bike MS 2013",17970
2013,21415,200000,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,MAM 2013 MS Great 8 Tour Du Lac,0
2015,25836,135000,190,6,4510,87563.87,71209.88,23,24,4,16353.99,64,9110,132,80048.87,2664,470,1595,Stratham,NH,3885,MAM 2015 Bike MS: New Hampshire Seacoast Escape,23867
2015,25787,530000,650,12,47465,429079.48,304367.05,59,67,7,124712.43,270,50905.54,392,389045.94,9897,2388.5,9822,Narragansett,RI,2882,MAM 2015 Bike MS: Ride the Rhode,22426
2016,27051,419000,482,16,33525,373360.87,252474.9,51,51,6,120885.97,217,44868.23,281,332469.84,3486,35,3747.2,Biddeford,ME,4005,MAM 2016 Bike MS: Great Maine Getaway,24826
2017,28942,104000,163,0,3680,52920.51,45724.44,20,19,4,7196.07,79,10165,84,45165.51,1335,167.82,1880,Concord,MA,1742,MAM 2017 Bike MS: Minuteman Ride,27689
2014,22298,2650000,2089,164,114565,2287453.07,1630385.26,132,142,12,657067.81,1104,276906.28,1149,2079731.29,46128.51,2549.32,65393.5,Boston,MA,2125,Massachusetts - Bike MS: Cape Cod Getaway 2014,19418
2013,21279,165000,171,2,3640,90560.22,57522.09,15,15,5,33038.13,61,9751,112,81164.22,8646,831.15,330,Hancock,MA,1237,Massachusetts - Bike MS: Bike and Hike the Berkshires 2013,18704
2013,19963,200000,167,13,6015,76955.08,57496.08,17,17,4,19459,49,7883,131,75872.08,690,500,6800,Burlington,VT,5405,Vermont - Bike MS: Green Mountain Getaway 2013,18413
2014,23866,170000,203,0,4840,163127.43,73371.5,18,18,6,89755.93,100,25498,103,138009.43,1415,100,320,Concord,MA,1742,Massachusetts - Bike MS: Minuteman Ride 2014,21177
2016,27048,2750000,2117,38,112400,2529645.38,1824739.38,150,166,12,704906,1199,333304.8,956,2334575.28,54671.88,74349.94,101307.2,Quincy,MA,2171,MAM 2016 Bike MS: Cape Cod Getaway,25096
2017,28104,530000,496,23,36019,384804.9,278092.37,51,61,7,106712.53,268,49720.83,251,347241.77,14712.77,2060,8162.7,Kingston,RI,2881,MAM 2017 Bike MS: Ride the Rhode,27041
2013,21226,130000,209,8,5515,70431.44,54883,23,25,4,15548.44,85,11659,132,59865.44,2310,350,1093,Stratham,NH,3885,New Hampshire - Bike MS: New Hampshire Seacoast Escape 2013,18546
2015,24786,450000,664,3,22991,374910.31,261101.04,73,75,5,113809.27,312,59610.8,355,332114.51,32761.3,200,5870,Oak Bluffs,MA,2575,MAM 2015 Bike MS: Ride the Vineyard,22066
2014,23832,200000,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,MAM - 2014 MS Great 8 - Beach to Beach Tour,21415
2014,21905,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MAM Bike MS 2014,0
2014,21764,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MAM Bike MS 2014 OLD,0
2013,20358,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MA,,MAM Bike MS 2013,0
2014,22487,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burlington,VT,5405,Vermont - Bike MS: Green Mountain Getaway 2014 - non blueprint - Delete,19963
2017,28949,115000,206,2,4865,97696.2,78847.49,32,33,3,18848.71,91,16050,117,83115.2,13561.16,10,800,Stratham,NH,3885,MAM 2017 Bike MS: New Hampshire Seacoast Escape,27702
2017,28222,430000,553,1,14875,321695,253920.5,64,59,5,67774.5,319,48922.5,235,279538.5,19282,0,6666,Oak Bluffs,MA,2575,MAM 2017 Bike MS: Ride the Vineyard,27091
2016,26796,375000,17,0,2110,65,65,5,6,2,0,1,65,16,0,0,0,0,Biddeford,ME,4005,MAM 2016 Bike MS: Great Maine Getaway - Registrations Only,0
2014,22488,100000,157,2,6940,72264,53998,15,15,4,18266,57,10688,102,70896,2980,100,9320,Burlington,VT,5405,Vermont - Bike MS: Green Mountain Getaway 2014,19963
2013,20306,35000,131,1,3205,29930,20105,8,8,7,9825,56,6673,76,23507,1535,0,250,Bar Harbor,ME,4609,Maine - Bike MS: Ride Bar Harbor 2013,17415
2013,19743,375000,496,28,26510,294721.44,184765.44,53,58,6,109956,215,40113.38,309,257305.06,4867,50,883,Biddeford,ME,4005,Maine - Bike MS: Great Maine Getaway 2013,17754
2016,27649,100000,98,2,1990,63476.76,48093,14,13,4,15383.76,53,11693,47,52043.76,1290,50,260,South Burlington,VT,5403,MAM 2016 Bike MS: Green Mountain Getaway,24933
2015,25528,170000,214,9,5705,193760.11,88676.13,25,25,5,105083.98,96,28008.98,127,168212.13,4624,0,2091,Concord,MA,1742,MAM 2015 Bike MS: Minuteman Ride,23866
2015,24826,375000,459,24,32810,355902.26,210258.58,52,56,6,145643.68,205,41649.81,278,316240.45,6475,25,1790,Biddeford,ME,4005,MAM 2015 Bike MS: Great Maine Getaway,22534
2014,22534,375000,461,18,27255,295111.44,176588.39,44,49,6,118523.05,160,30104.11,319,267085.33,7896.2,1157,1278,Biddeford,ME,4005,Maine - Bike MS: Great Maine Getaway 2014,19743
2013,19418,2589000,2356,142,127155,2457997.08,1769865.85,137,155,14,688131.23,1076,257754.82,1422,2240411.62,61934.31,6973.21,35817.36,Boston,MA,2125,Massachusetts - Bike MS: Cape Cod Getaway 2013,17563
2017,28205,450000,453,8,29755,341617.67,246223.59,54,55,5,95394.08,199,39695.3,262,315887.37,4190.5,20,3826,Biddeford,ME,4005,MAM 2017 Bike MS: Great Maine Getaway,27051
2015,24666,2700000,320,0,16455,5411,5376,48,49,5,35,57,5376,263,100,0,0,65,Boston,MA,2125,MAM 2015 Cape Cod Getaway - Registrations Only,0
2015,24933,100000,142,8,7400,92220.65,68954.64,20,20,3,23266.01,49,12489.8,101,82664.85,1355,205,2764,Burlington,VT,5405,MAM 2015 Bike MS: Green Mountain Getaway,22488
2014,23867,125000,187,5,5030,83648.28,66354.28,29,31,3,17294,79,12545,113,72660.28,3585.54,0,367,Stratham,NH,3885,New Hampshire - Bike MS: New Hampshire Seacoast Escape 2014,21226
2013,19124,494000,694,5,23722,375531.53,252655.53,66,68,6,122876,291,60952.05,408,317136.48,18982,824,2432,Martha's Vineyard,MA,2575,Massachusetts - Bike MS: Ride The Vineyard 2013,17323
2013,21177,100000,179,0,4555,151263.25,93352,20,20,4,57911.25,74,31538,105,120280.25,2812,0,500,Concord,MA,1742,Massachusetts - Bike MS: Minuteman Ride 2013,18527
2016,27091,430000,680,3,23695,432238.54,323451.77,69,68,6,108786.77,407,97664.38,276,370569.16,15889,20885,34250,Oak Bluffs,MA,2575,MAM 2016 Bike MS: Ride the Vineyard,24786
2014,24004,165000,141,3,2255,66802,51947,12,12,4,14855,52,10255,92,56627,2829,0,80,Hancock,MA,1237,Massachusetts - Bike MS: Bike and Hike the Berkshires 2014,21279
2014,22066,494000,695,0,22406,350055.36,243100.73,72,75,5,106954.63,308,53676.82,387,299139.54,23476,50,2760,Oak Bluffs,MA,2575,Massachusetts - Bike MS: Ride The Vineyard 2014,19124
2017,28923,75000,82,0,1445,63546.56,43570,13,13,4,19976.56,31,9065,51,58531.56,205,1665,3975,South Burlington,VT,50403,MAM 2017 Bike MS: Green Mountain Getaway,27649
2017,28124,2750000,1988,62,110056,2618138.68,1904159.21,145,159,11,713979.47,1202,344622.05,848,2483410.83,92197.06,46359.98,136118.2,Quincy,MA,2171,MAM 2017 Bike MS: Cape Cod Getaway,27048
2016,27702,114000,190,3,5020,78071.65,67164,25,26,4,10907.65,75,10227.65,118,68145,4605,70,220,Stratham,NH,3885,MAM 2016 Bike MS: New Hampshire Seacoast Escape,25836
2016,27689,180000,161,0,3980,165849.03,72016.04,25,22,3,93832.99,82,29353.77,79,147467.76,950,10000,10897.5,Concord,MA,1742,MAM 2016 Bike MS: Minuteman Ride,25528
2016,27041,530000,430,2,30980,297336.79,202037.22,50,59,6,95299.57,201,41858.19,231,261658.84,2211,3765,5210.24,Kingston,RI,2881,MAM 2016 Bike MS: Ride the Rhode,25787
2016,26586,2700000,271,0,14015,4719,4719,45,47,5,0,50,4719,221,0,0,0,0,Boston,MA,2125,MAM 2016 Bike MS: Cape Cod Getaway - Registrations Only,25096
2015,25096,2700000,2000,76,111585,2369091.66,1716198.78,141,156,11,652892.88,1101,292673.28,975,2159715.72,58844.05,7001.94,42757.75,Boston,MA,2125,MAM 2015 Bike MS: Cape Cod Getaway,22298
2014,23816,35000,78,6,1650,15725,12368,6,6,4,3357,31,3330,53,12435,320,0,40,Bar Harbor,ME,4609,Maine - Bike MS: Ride Bar Harbor 2014,20306
2016,26506,530000,30,0,2170,285,260,7,7,2,25,6,260,24,25,0,0,0,,RI,,MAM 2016 Bike MS: Ride the Rhode - Registrations Only,25787
2015,25846,165000,100,0,1825,30006.8,20651,11,12,3,9355.8,34,7346.8,66,23237.26,1040,335,372.26,Hancock,MA,1237,MAM 2015 Bike MS: Bike and Hike the Berkshires,24004
2015,25118,550000,641,33,9080.1,440661.52,324026.88,73,74,6,116634.64,322,64113.79,352,381231.88,6880,22082,510.15,Easton,MD,21601,MDM 2015 Bike MS: Chesapeake Challenge,22516
2016,27042,1025000,718,19,11732.72,600785.6,488039.71,93,93,5,112745.89,415,127881.57,322,521362.24,6447,48124.49,46778.21,Easton,MD,21601,MDM 2016 Bike MS: Chesapeake Challenge,25118
2013,20359,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Easton,MD,21601,MDM Bike MS 2013,17584
2014,21906,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Easton,MD,21601,MDM Bike MS 2014,0
2014,22516,500000,610,10,9360.3,418926.85,279377.11,58,57,7,139549.74,329,62007.13,291,360773.72,10203,22432,2711,Easton,MD,21601,"Easton, Maryland - Bike MS 2014",20810
2013,21418,200000,2,0,0,18220.45,16970.45,1,1,2,1250,0,0,2,18420.45,0,0,200,,,,MDM - 2013 MS Great 8 Tour Du Lac,0
2013,20476,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Easton,MD,21601,not applicable,0
2013,20547,750000,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,Easton,MD,21601,n/a 1,0
2017,28915,680000,747,5,22525.99,705769.48,582636.04,94,93,6,123133.44,486,146634.58,266,597805.53,5362.63,32170,37620.63,Easton,MD,21601,MDM 2017 Bike MS: Chesapeake Challenge,27042
2014,23833,200000,4,0,0,36280.04,30540.04,1,1,4,5740,3,353,1,35927.04,0,0,0,,,,MDM - 2014 MS Great 8 - Beach to Beach Tour,21418
2013,20810,575000,662,19,8765.99,414494.14,267888.7,56,58,7,146605.44,291,54482.63,390,360969.51,11629.91,21461.5,733,Easton,MD,21601,MDM - 2013 Bike MS: Chesapeake Challenge,17584
2014,21765,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MDM Bike MS 2014 OLD,0
2014,21907,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MIG Bike MS 2014,0
2013,19337,0,0,0,0,21224.75,0,0,0,0,21224.75,0,0,0,21224.75,0,21224.75,0,State Wide,MI,,"Michigan, Statewide - Bike MS Great Lakes Breakaway-General Donation2013",18126
2013,19340,10000,0,0,0,75,0,0,0,0,75,0,0,0,75,0,75,0,,,,MIG 2013 Bike MS Virtual,18836
2014,21766,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MIG Bike MS 2014 OLD,0
2013,20360,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MIG Bike MS 2013,0
2015,24857,50000,0,0,0,16561.43,0,0,0,0,16561.43,0,0,0,16561.43,0,16561.43,0,,,,MIG 2015 Bike MS: Great Lakes Breakaway General Donations,23406
2013,19339,10000,0,0,0,26117.63,0,0,0,0,26117.63,0,0,0,26117.63,0,26117.63,0,State Wide,MI,,MIG 2013 Bike MS Sponsorship,18128
2014,23406,1000000,0,0,0,5361,0,0,0,0,5361,0,0,0,5361,0,5361,0,,,,"Michigan,Statewide - Bike MS Great Lakes Breakaway General Donation 2014",19337
2013,19338,10000,0,0,0,1470,0,0,0,0,1470,0,0,0,1470,0,1470,0,State Wide,MI,,MIG 2013 Bike MS Merchandise Sales,18127
2015,24779,30000,99,2,796,24278.5,19235,14,15,4,5043.5,41,3825,60,20858.5,320,192,155,Brighton,MI,48116,MIG 2015 Bike MS: Great Lakes Fall Breakaway,22388
2015,24776,350000,547,33,10990,311643.28,200642.13,60,64,5,111001.15,219,50834.88,361,262727.4,23245,315,1060,Holland,MI,49423,MIG 2015 Bike MS: Great Lakes West Michigan Breakaway,22386
2014,22389,125000,327,5,4443,129490.33,71700.19,36,38,5,57790.14,119,20554.4,213,110102.93,3082.39,5,1167,Frankenmuth,MI,48734,"Michigan, Frankenmuth - Bike MS: Bavarian Breakaway 2014",19328
2013,19328,100000,348,5,4790,132410.21,78002.51,30,33,5,54407.7,130,25169.7,223,108413.51,2755,30,1173,Frankenmuth,MI,,"Michigan, Frankenmuth - Bike MS: Bavarian Breakaway 2013",17476
2014,22387,350000,369,16,6850,214538.49,127988.03,33,33,6,86550.46,127,26904,258,192300.49,5504,15456,4666,Linden,MI,48451,"Michigan, Linden - Bike MS: Mid Michigan Great Lakes Breakaway 2014",19331
2013,19332,30000,116,2,1080,12723.25,8159.25,17,18,4,4564,43,3969,75,8795.25,770,407,41,Brighton,MI,,"Michigan, Brighton - Bike MS: Fall Breakaway 2013",17475
2013,19330,350000,548,39,14140,264193.28,161299.95,49,51,7,102893.33,221,44881.92,366,223420.36,8836.65,500,3959,Holland,MI,,"Michigan, Holland - Bike MS: West Michigan Great Lakes Breakaway 2013",17473
2016,27703,300000,271,12,3992.7,163867.55,95644.6,37,34,4,68222.95,90,19474.65,193,145862.9,4080,305,340,Frankenmuth,MI,48734,MIG 2016 Bike MS: Great Lakes Bavarian Breakaway,24780
2017,28287,350000,334,11,8832,249067.61,150290.61,48,45,4,98777,176,39410.11,169,213892.5,5352,19870,3175,Holland,MI,49423,MIG 2017 Bike MS: Great Lakes West Michigan Breakaway,27249
2016,27704,200000,303,20,4809.3,162274.15,122700.91,27,27,6,39573.24,122,25645.4,201,138018.75,4790,4595,465,East Lansing,MI,48824,MIG 2016 Bike MS: Great Lakes Mid Michigan Breakaway,24777
2014,22388,25000,93,0,864,37124.01,24115.01,13,14,5,13009,50,7804,43,29440.01,595,645,120,Brighton,MI,48116,"Michigan, Brighton - Bike MS: Fall Breakaway 2014",19332
2017,28938,25000,38,4,780,11650,7048,9,8,2,4602,20,3160,22,8810,3152,0,0,Brighton,MI,48116,MIG 2017 Bike MS: Great Lakes Fall Breakaway,27705
2016,27249,350000,450,17,9128.7,287836.62,182237.68,49,48,5,105598.94,177,38902.11,290,252355.51,20689.43,3038,1831,Holland,MI,49423,MIG 2016 Bike MS: Great Lakes West Michigan Breakaway,24776
2015,24780,150000,385,10,4644,204386.2,118945.21,42,46,5,85440.99,120,22054.9,275,183226.3,12256.47,887,405,Frankenmuth,MI,48734,MIG 2015 Bike MS: Great Lakes Bavarian Breakaway,22389
2013,19331,375000,428,38,9615,230080.64,139659,36,38,8,90421.64,185,38596,281,194979.64,5454.35,1600,3495,Linden,MI,,"Michigan, Linden - Bike MS: Mid Michigan Great Lakes Breakaway 2013",17474
2014,22386,350000,489,32,11185,291318.4,185788.96,47,51,6,105529.44,219,51792.45,302,241540.95,4054.84,25,1765,Holland,MI,49423,"Michigan, Holland - Bike MS: West Michigan Great Lakes Breakaway 2014",19330
2017,29037,350000,281,2,5116,166531.1,94651.75,32,34,5,71879.35,105,19914.3,178,151689.8,4797.5,68,1215,Frankenmuth,MI,48734,MIG 2017 Bike MS: Great Lakes Bavarian Breakaway,27703
2017,28921,350000,291,14,5015,198534.15,132415.38,28,29,6,66118.77,121,25756.25,184,178805.65,4877.93,200,1478,East Lansing,MI,48823,MIG 2017 Bike MS: Great Lakes Mid Michigan Breakaway,27704
2016,27705,25000,91,1,911.4,21678,18563,13,13,4,3115,44,4075,48,17618,250,0,15,Brighton,MI,48116,MIG 2016 Bike MS: Great Lakes Fall Breakaway,24779
2015,24777,300000,331,23,4710,179385.57,120073.51,23,21,7,59312.06,117,25522,237,155020.47,6090,456,966.9,Milford,MI,48357,MIG 2015 Bike MS: Great Lakes Mid Michigan Breakaway,22387
